@relation 'corpus_req_arff-weka.filters.unsupervised.attribute.Remove-R1,23'

@attribute idx_req numeric
@attribute minValNorm numeric
@attribute maxValNorm numeric
@attribute meanValNorm numeric
@attribute STDValNorm numeric
@attribute varSMNorm numeric
@attribute minVal numeric
@attribute maxVal numeric
@attribute meanVal numeric
@attribute STDVal numeric
@attribute varSM numeric
@attribute bad_MD numeric
@attribute bad_NN numeric
@attribute bad_VB numeric
@attribute bad_RB numeric
@attribute bad_JJ numeric
@attribute bad_DT numeric
@attribute bad_punctuation numeric
@attribute num_sentence numeric
@attribute num_words numeric
@attribute class {req,nonreq}

@data
1,0.00073,0.07969,0.06252,0.03291,0.00331,0.00046,0.25269,0.01613,0.04612,0.00213,0,1,0,0,0,0,0,1,16,nonreq
2,0.12846,0.66138,0.2017,0.17104,0.04003,0.02602,0.6195,0.03882,0.08901,0.00792,0,1,0,0,0,0,2,1,16,nonreq
3,0.00064,0.39064,0.26343,0.17623,0.04186,0.00044,0.44877,0.04888,0.09062,0.00821,0,1,0,0,0,0,0,1,18,nonreq
4,0.00047,0.1615,0.15475,0.113,0.02176,0.00041,0.30427,0.03117,0.07099,0.00504,0,0,0,0,0,0,0,1,18,req
5,0.00295,0.39064,0.23221,0.15625,0.03498,0.0009,0.44877,0.04379,0.08442,0.00713,0,0,0,0,1,0,0,1,13,req
6,0.00237,0.60295,0.14856,0.16272,0.03716,0.00079,0.58265,0.03016,0.08643,0.00747,0,0,0,0,0,0,0,1,14,req
7,0.00166,0.36376,0.21686,0.1571,0.03527,0.00064,0.43182,0.04129,0.08468,0.00717,0,0,0,0,0,0,0,1,25,req
8,0.00027,0.36376,0.3076,0.19165,0.04751,0.00037,0.43182,0.05608,0.09541,0.0091,0,1,0,0,0,0,0,1,37,req
9,0.00042,0.69887,0.15241,0.1862,0.04548,0.0004,0.64314,0.03078,0.09372,0.00878,0,0,0,0,0,0,0,1,23,req
10,0.00515,0.16587,0.21128,0.10628,0.01991,0.00134,0.30703,0.04038,0.0689,0.00475,0,2,0,0,0,0,0,1,13,nonreq
11,0.00063,0.69887,0.18081,0.19639,0.0493,0.00044,0.64314,0.03541,0.09688,0.00939,0,0,0,0,0,0,0,1,26,req
12,0.00123,0.22969,0.23342,0.1239,0.02488,0.00056,0.34728,0.04399,0.07437,0.00553,0,0,0,0,0,0,0,1,22,req
13,0.22756,0.24381,0.13167,0.08896,0.0154,0.04585,0.35618,0.0274,0.06352,0.00403,0,1,0,0,0,1,0,1,12,req
14,0.18726,0.7614,0.21952,0.2303,0.06293,0.03778,0.68257,0.04172,0.10741,0.01154,0,0,0,0,0,0,0,1,19,nonreq
15,0.00418,0.29879,0.152,0.07378,0.01175,0.00115,0.39085,0.03072,0.05881,0.00346,0,0,0,0,0,0,0,1,12,req
16,0.16893,0.24585,0.1403,0.09252,0.0163,0.03411,0.35747,0.02881,0.06463,0.00418,0,0,0,0,0,0,0,1,23,req
17,0.00269,0.11984,0.19929,0.08328,0.014,0.00085,0.278,0.03843,0.06176,0.00381,0,0,0,0,0,0,0,1,15,req
18,0.09366,0.7614,0.21954,0.18363,0.04454,0.01905,0.68257,0.04173,0.09292,0.00863,0,0,0,0,0,0,0,1,13,nonreq
19,0.00104,0.3917,0.22934,0.16599,0.03827,0.00052,0.44944,0.04333,0.08744,0.00765,0,0,0,0,0,0,0,1,21,req
20,0.00034,0.3917,0.17226,0.15369,0.03414,0.00038,0.44944,0.03402,0.08362,0.00699,2,0,0,0,0,0,0,1,25,req
21,0.00209,0.81389,0.16548,0.17123,0.0401,0.00073,0.71567,0.03292,0.08907,0.00793,0,1,0,0,0,0,0,1,24,req
22,0.00134,0.51868,0.17465,0.1624,0.03705,0.00058,0.52951,0.03441,0.08633,0.00745,0,0,0,0,0,0,0,1,19,req
23,0.0019,0.7769,0.1401,0.17475,0.04134,0.00069,0.69234,0.02878,0.09016,0.00813,0,0,0,0,0,0,0,1,17,req
24,0.00105,0.62411,0.25655,0.24326,0.06851,0.00052,0.596,0.04776,0.11144,0.01242,0,1,0,0,0,0,0,1,17,req
25,0.00135,0.34409,0.20826,0.14483,0.03127,0.00058,0.41942,0.03989,0.08087,0.00654,0,0,0,0,0,0,0,1,11,req
26,0.00178,0.60295,0.22326,0.19567,0.04902,0.00067,0.58265,0.04234,0.09666,0.00934,0,0,0,0,0,0,0,1,20,req
27,0.00312,0.24713,0.26099,0.1449,0.03129,0.00094,0.35827,0.04849,0.0809,0.00654,0,0,1,0,0,0,3,1,30,req
28,0.00198,0.51717,0.17376,0.16798,0.03896,0.00071,0.52856,0.03426,0.08806,0.00775,0,1,1,0,0,0,1,1,19,req
29,0.00411,0.73716,0.18058,0.17974,0.04312,0.00114,0.66729,0.03538,0.09171,0.00841,0,2,0,0,0,0,0,1,21,req
